timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Kou-Kamma,Chemical toilet,0.4,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
Census 2022,Municipality,Kou-Kamma,Pit toilet,2.7,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
Census 2022,Municipality,Kou-Kamma,Bucket toilet,3.0,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
Census 2022,Municipality,Kou-Kamma,Other,1.5,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
Census 2022,Municipality,Kou-Kamma,None,0.9,Eastern Cape,Sarah Baartman,Kou-Kamma,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,Flush toilet,84.7,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,Chemical toilet,0.4,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,Pit toilet,3.1,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,Bucket toilet,9.0,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,Other,0.9,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Kouga,None,1.9,Eastern Cape,Sarah Baartman,Kouga,DsMainToiletFacilitys
Census 2022,Municipality,Makana,Flush toilet,89.7,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Makana,Chemical toilet,0.4,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Makana,Pit toilet,6.3,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Makana,Bucket toilet,1.6,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Makana,Other,0.4,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Makana,None,1.6,Eastern Cape,Sarah Baartman,Makana,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,Flush toilet,85.1,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,Chemical toilet,1.9,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,Pit toilet,9.0,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,Bucket toilet,2.2,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,Other,1.0,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Ndlambe,None,0.8,Eastern Cape,Sarah Baartman,Ndlambe,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,Flush toilet,81.5,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,Chemical toilet,0.6,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,Pit toilet,9.9,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,Bucket toilet,3.2,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,Other,2.4,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Sundays River Valley,None,2.5,Eastern Cape,Sarah Baartman,Sundays River Valley,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,Flush toilet,95.4,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,Chemical toilet,0.1,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,Pit toilet,0.8,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,Bucket toilet,2.7,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,Other,0.2,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Mafube,None,0.7,Free State,Fezile Dabi,Mafube,DsMainToiletFacilitys
Census 2022,Municipality,Metsimaholo,Flush toilet,83.9,Free State,Fezile Dabi,Metsimaholo,DsMainToiletFacilitys
Census 2022,Municipality,Metsimaholo,Chemical toilet,0.7,Free State,Fezile Dabi,Metsimaholo,DsMainToiletFacilitys
